 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  02/01/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.27,30.95,36.17,82.61,150.97,121.72,115.75,93.43,44.62,58.47,190.64,137.09,125.55,124.01,124.28,98.61,52.16,280.83,22.49,22.61,41.14,33.97
Maximum Price,70,62,69,133,210,170,180,153,70,83,262,235,220,189,245,176,147,560,33,70,90,90
Minimum Price,23,21,27,58,87,82,80,70,38,40,116,108,90,99,101,80,32,157,9,9,19,10
Modal Price,40,28,35,80,160,120,120,100,44,60,200,130,120,130,112,100,50,300,28,20,40,30
Andaman and Nicobar,48.67, ,67.67,94,175,148.33,135,104.67,55,73,232.5,182,182.33, ,142.67,120.67,78.33,308.33,19.67,43.33,71,76.67
Andhra Pradesh,57.4,45.2,49.2,84.6,172.8,142.4,126.6,104.8,42.8,60,169,172.2,109.6,146.33,113,88.6,58.6,349,21.6,30,35,24
Arunachal pradesh,33.75,42,38,92,140,125,120,103.75,51.67,70.67,160,152.67,153.33,138.33,188.33, ,67,300,21.67,22.67,56,50
Assam,43.15,31,36.63,82.33,144.7,112.35,114.07,92.04,47.35,70.42,211.33,148,137.45,137.11,150.23,113.76,57.42,260.04,13.46,20.3,47.81,45
Bihar,38.11,27.79,33.84,77.18,146.26,118.03,112.29,80.89,44.35,55.43,183.47,132.87,121.92,126.47,161.1,106.13,47.76,272.73,22.68,17.68,40.51,33.39
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,16,40,40
Chhattisgarh,40.75,35.88,38.63,88.38,166.88,111.75,111,93.63,42.38,57.86,204.5,152.29,129,132.43,143.25,115.5,48.25,296.88,23.75,23.75,42.13,23.25
Delhi,39,30,32,78,158,140,118,83,45,54,212,145,124,127,135,97,57,243,26,15,37,28
DNH and DD,49,40.67,46,89.67,161.67,142.67,127.33,97.67,43.33,64.33,202.33,149.33,135.33,134,126.33,101.33,70.33,350,27,19.67,27.33,23.67
Goa,52,44.5,42.5,93.5,178.5,145,133.5,96.5,44,57.5,225,160,142.5,149,117,95.5,59,325.5,24.5,36,38,40
Gujarat,42,35.13,39,83,149,119.88,111.25,94.38,42.63,60.75,189.57,143.14,132.5,129.43,124.25,103.38,52.63,252.5,14.38,23.75,42.38,28.5
Haryana,42.25,28.75,34.25,76.25,128,108.5,107.75,96,43.5,59.5,176,127,123,121.67,150.33,109.33,45.75,232,25.25,16.75,41,29
Himachal Pradesh,38.67,21,33.42,82.17,157.08,129.08,115.58,90.08,47.17,53.5,219.5,160.92,132.58,127,145.67,112.67,46.33,259.67,27.58,20.83,35.25,38.67
Jammu and Kashmir,44.33,36,39.17,91.67,140,123.17,121.5,101.67,50.5,51.33,242,143,135,130.5,145.2,112.33,49.83,312.5,26.83,22.83,39.67,38.83
Jharkhand,38.61,31.18,35.06,80.17,151,120.22,111.94,82.72,45.88,58.38,189.67,135.94,120.89,126.29,148.38,103.94,47.65,292.56,24.53,20.72,40.78,32.17
Karnataka,58.26,43.77,47.77,93.61,163.03,137.19,124.48,106.74,42.55,50.19,180.32,166.06,120.29,136,121.42,95.74,51.39,285.16,19.55,31.77,43.39,27.23
