 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  01/01/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.03,30.99,36.19,82.66,152.34,121.98,115.27,93.44,44.29,57.8,190.93,137.13,125.45,124.04,124.41,99.17,51.49,272.83,22.41,22.31,39.5,32.37
Maximum Price,70,54,69,135,209,172,157,153,70,80,262,235,220,185,245,170,167,559,31,70,90,90
Minimum Price,26,21,27,60,87,82,80,70,32,40,115,108,91,98,101,80,25,157,9,9,18,10
Modal Price,40,28,35,80,160,120,120,100,44,60,200,131.67,120,115,115,100,50,250,28,20,30,30
Andaman and Nicobar,48.67, ,67.67,94,175,148.33,135,104.67,55,73,232.5,182,182.33, ,142.67,120.67,78.33,308.33,19.67,43.33,71,76.67
Andhra Pradesh,55.67,45.33,47,86.67,176.33,144.67,126,97.33,43.33,61.67,167.33,165.67,109.33,120,112.67,88.33,59.67,348,21.67,28.67,29.67,26
Assam,43.52,31,36.52,82.3,144,112.61,113.96,91.78,47.31,70.85,211.33,147.38,136.11,135.96,149,110.81,56.85,257.44,13.46,20.19,47.31,45.17
Bihar,37.37,27.78,33.74,76.96,146.44,117.96,111.07,79.3,44.67,55.85,180.17,133.3,122.04,125.89,159.83,105.1,47.74,279.89,21.85,17.81,39.63,31.35
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,16,40,40
Chhattisgarh,39.63,34.88,38.63,86.5,166.13,110.63,109.88,91.63,42.5,58.38,188.25,154.29,123.13,132.71,143.63,115.13,49.13,287.5,23.5,23.88,42.75,23.38
Delhi,39,30,32,78,158,140,118,83,45,54,212,145,124,127,135,97,57,243,26,15,37,28
DNH and DD,49,40.67,46,90,162.33,142.67,127.33,97,43.33,64.33,202,150,135.33,134.33,126.33,101.33,70.33,350,27,19.67,28,23
Goa,51.5,44.5,42.5,93.5,178.5,145,133.5,96.5,44,57.5,225,160,143.5,150,117,95.5,59,325.5,24.5,36,38,40
Gujarat,42.14,35,39,82.71,147.71,121.29,112.14,95,42.43,61,189.67,144.5,132.14,127.83,124.43,102.86,52.43,245.71,14,22.86,42.71,28.29
Haryana,42.5,28.75,34.25,76.25,129,110,107.75,96.5,43.75,59.5,178.25,135.75,126,126.5,152,107.5,46,233.5,25.25,18,43.25,30
Himachal Pradesh,38.67,21,33.42,82.42,157.5,129.08,115.42,89.83,47.25,53.5,219.5,161.33,132.75,127,142,118.5,46.33,259.67,27.58,20.83,35.92,38.67
Jammu and Kashmir,44.33,32.75,39,91.5,141.17,124,121.5,100.4,50.5,51.17,242,142.17,134.17,130.5,144.6,112.33,49.67,311.67,26.83,22.83,39.83,39.5
Jharkhand,38.56,31.06,35.11,80.61,151.5,120.06,112.17,83,45.94,58.38,189.67,135.94,120.89,126.24,148.38,103.88,47.65,291.63,24.47,20.94,42.17,32.83
Karnataka,58.03,43.88,47.47,93.19,162.94,137.28,124.34,106.53,42.5,50.47,180.84,166.38,120.16,136.68,121.44,95.94,51.28,289.19,19.72,32.09,43.56,27.28
Kerala,50.64,45.21,47.21,101.64,184.43,151,136.77,110.71,43.36,53.93,230.86,178.9,145.14, ,116.64,96.46,62.57,231.86,14.57,38.21,37.29,40.36
Madhya Pradesh,38.82,28.76,34.38,81.02,154.13,113.31,111.44,89.67,42.96,57.24,191.33,134.58,117.27,109.62,136.39,107.04,46.67,250.27,19.22,18.09,32.78,21.47
Maharashtra,49.53,39.95,43.42,82.53,165.95,127.63,123.68,96.11,43.47,59.05,186,156.33,125.89,108.68,121.32,97.81,53.63,296.74,23.89,27.32,33.21,31.37
Meghalaya,41.5,37.75,36.75,90,135,128.25,118.25,91.25,49.5,73.25, ,131.25,132.5,123,200,120,82.5,326.75,30,27.5,58.25,51.25
Mizoram,45.75,38.33,48.25,104.67,140,135,126.67,101.25,50.5,78, ,183,210,128.75,197,113,120,424.25,27.75,41,64.25,74.75
Nagaland,38,40,50, ,150, ,120,100,70,75, ,160, ,180, , ,80,350,20,25,40,60
Odisha,37.42,37.68,40.74,79.38,155.46,120.04,113.33,80.17,44.91,52.65,169,136,113.39,134.4,115.75,93.46,50.17,275.41,26.39,19.17,35.5,29.58
Punjab,38.4,25,31.27,84,156.33,123.6,116.27,98.8,43.4,59.13,202,123.53,117.2,115.2,133.46,99.55,50.13,268,26.53,15.47,31,31.27
Rajasthan,40.79,29.69,32.28,72.93,118.41,107.21,100.93,89.21,41.86,51.54,184.17,150.69,125.7,137.57,158.08,135.6,43.17,294.21,19.9,22.07,44.97,35.76
Sikkim,59.5,36,46,82.5,128.5,129,115,95,46.5,63.5, ,179.5,123,163,171.5, ,55,483.5,19,31,57.5,47.5
Tamil Nadu,59.04,44.45,54.08,86.88,171.79,144.46,123.25,93.8,43.17,46.33,209.42,182.62,127.83, ,113.75,89.42,54.54,313.27,24.25,35.08,36.79,28.38
Telangana,49.33,38.33,49.67,79.67,164.33,127,112.67,93,41,59,162.67,158,106.33,105,112.67,98,55,293.33,20.33,23.33,39.67,29
Tripura,38.75, ,39.25,85.67,139,125,111.5,103.75,49,70.25, ,130,127.67,114.25,144.5,98.5,68.75,221,10.5,22.5,41.25,54.5
Uttar Pradesh,37.47,26.57,33,78.76,148.15,115.39,110.76,94.15,43.79,62.34,191.41,141.09,129.08,132.09,157.7,111.23,47.27,243.55,26.91,15.87,37.81,28.33
Uttarakhand,37,28,34.75,87.75,136,110,106.5,97.75,43.5,62,156.5,137.25,134,132,145.5,115.5,51.75,264.25,28.75,15.5,36,28.5
West Bengal,42.19,29.22,37.88,80.19,151.75,116.6,124.06,107.88,45.13,54.69,198,129,110.88,113.75,128.38,99.75,51.5,265.19,21.27,19.75,44.13,43.56
Source:-  State civil supplies Dept.,Note:- All India Consumption Weighted Average Prices of Oils w.e.f 23-Feb-2022 and Wheat and Atta w.e.f 25-Feb-2023 ,NR -&gt Not Reported  ,,,,,,,,,,,,,,,,,,,,
Developed by:-  National Informatics Centre(NIC),,,,,,,,,,,,,,,,,,,,,,

