 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  24/06/2024 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,45.01,31.03,36.13,88.28,161.57,126.89,118.9,94.09,44.89,58.91,188.37,140.01,126.53,124.03,123.3,100.35,54.54,279.95,22.59,33,39.69,49.95
Maximum Price,75,52,67,153,207,190,180,166,70,83,262,235,220,180,210,175,175,560,33,73,70,120
Minimum Price,25,22,27,60,87,80,85,71,38,39,118,106,91,99,103,82,35,160,9,12,17,17
Modal Price,40,28,35,90,160,120,120,100,44,60,170,140,120,130,115,98,50,300,28,30,40,40
Andaman and Nicobar,47.5, ,67,92.5,167.5,152.5,134,100,56.5,73.5,232.5,176,166.5, ,133,116,81,300,20,62.5,55,105
Andhra Pradesh,60.6,44.4,47.4,88,176.8,138,125.8,101.6,42.8,60.4,166.8,169,111.25,159.5,111.4,90.2,58.6,290.5,21.8,36.6,40.8,59.4
Arunachal pradesh,50,45,46,103.33,163,135.33,123.33,106.67,55,77,167,141.5,136.5,136.5,166.5, ,80,327,17.5,46,50,78.5
Assam,42.86,32.79,36.39,89.29,161.21,115.38,115.36,92.32,47.39,71.54,209.29,150.43,136.09,137,147.27,115.16,59.54,253.04,13.37,31.63,40.89,49.84
Bihar,38,27.26,33.37,81.68,154.11,120.39,114.61,80.32,44.39,56.08,182.44,136.11,123.21,126.66,159.13,104.53,47.55,279.35,23.32,24.18,32.5,33.32
Chandigarh,40,32,34,95,179,130,125,98,44,62,190,148,120,129,135,105,55,255,28,27,40,40
Chhattisgarh,40.33,38.17,40,95.5,163,118.33,114.83,94,43.83,54.5,197.17,156.33,131,134.83,143.33,116.83,47.83,311.67,21.5,34.67,40.5,52.17
Delhi,40,29,32,97,177,143,127,90,44,56,209,148,129,128,139,104,58,243,26,30,50,35
DNH and DD,49.33,41.33,47.33,91.67,177,149,131,95.33,43.67,65,192,153.33,134.67,135,127.33,107.67,63.67,350,27.33,35.67,39.67,65.33
Goa,52.5,48,45.5,95.5,188.5,154,134,97,44,57.5,219,161,143,154,117.5,98,60.5,329,24.5,42,44.5,65
Gujarat,42.57,38,41.17,88.57,170.71,129.29,120,93.14,43.29,61.57,177.14,144,126.43,128.57,125.86,106.14,56.29,245.57,16.43,31.29,38.29,47.57
Haryana,39.5,29.25,31.75,78.75,142.75,108.25,108,86.5,45.25,60.5,179.75,139,120.75,118.75,140.25,95.75,49.25,226,24.25,23.75,36.25,26.75
Himachal Pradesh,41,22,33.17,89.17,169.58,135.5,117.17,89.83,47.17,52.17,219.75,163.08,138.25,129.5,143.5,118,48.83,270.58,27.5,33,43.67,35
Jammu and Kashmir,47.5,32.8,37.67,98.33,152,128,125.5,102.83,51,51, ,152.17,137.17,132.67,145.4,120,54.67,312.33,27.4,31.67,39,39
