 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  26/11/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,43.49,31.11,36.51,83.36,157.78,123.61,116.84,94.63,44.28,57.49,193.76,138.45,124.32,122.1,123.67,99.12,51.38,273.04,23.02,24.59,57.76,41.97
Maximum Price,71,54,67,133,193,174,165,153,53,76,262,235,220,197,210,170,100,559,31,70,84,85
Minimum Price,27,21,28,60,98,82,90,70,37,40,136,110,90,100,102,83,34,155,9,11,31,11
Modal Price,40,28,35,80,160,120,120,90,43,60,198,130,120,115,120,90,50,280,28,20,60,40
Andaman and Nicobar,50, ,67,94,177,145,130,96,53,73, ,176,209, ,134,124,74,325,20,40,77,80
Andhra Pradesh,56,45,46.33,88,183.67,143.33,125.33,97,43.33,61.67,169,163.33,110.33,120,110,87.33,61.33,348,22.33,30.33,56,31.67
Assam,43.18,32,36.35,80.35,143.88,110.38,114.18,92.94,46.94,70.94,234.5,144.06,133.09,135.12,155.36,104.67,58.65,263.5,14.65,20.76,62.5,48.19
Bihar,38.21,28.21,33.53,78.21,154.16,122.05,113.95,80.37,45.05,55.89,191.44,135.47,118.63,124.58,157.24,100.27,47.58,285.37,21.74,19.68,54.11,49.95
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,29,53,50
Chhattisgarh,41.86,37.43,39.29,84.57,158.43,112.14,113.29,91.57,42.86,59.57,207.71,143,123.14,123.43,138.57,109.57,51,303.71,25.57,26.14,60,38.29
Delhi,39,30,33,88,173,143,122,90,45,53,214,146,126,126,139,99,57,243,26,27,60,53
DNH and DD,48.33,40.33,44.67,88,165.33,135.67,127.33,96.33,44,64.33,207.67,153.33,136.33,134.33,126,100.67,69.67,349.33,27,22.67,52.67,41.67
Gujarat,43.6,35.8,41.2,83.4,146.6,121.2,114.6,96.2,42.6,57.25,194.2,133.25,133.75,132,124.25,103.4,50.6,264.25,15.4,24.8,62.4,32.4
Haryana,42,28,34,76.75,128.75,106.5,106,96.5,44.25,59.5,178.25,139.5,127.75,127,159.5,105.25,46.5,230.25,25,18.25,52.25,39.25
Himachal Pradesh,38.75,21,33.33,83.83,158.75,127.25,115.33,90.25,46.92,53.5,222,162.08,133.08,126,145.83,112.67,46.75,259.17,27.58,28.75,58.08,54.92
Jammu and Kashmir,38,39,46,96.5,135.5,121,123.5,108.5,51,49,243,142.5,137.5,130,162,143,50.5,360,28,32,49.5,49
Jharkhand,38.64,31.8,35.27,83.09,153.82,115.18,111.09,84.64,45.7,58.22,195.14,139.18,120.73,130.5,159.33,108.1,48.3,300.56,23.6,22.18,53.82,48.36
Karnataka,56.21,44.28,46.83,92.34,165.97,138.62,125.24,107.03,42.39,48.93,178.72,167.38,121.38,137,121.48,95.83,51.57,286.18,19,32.86,59.97,28.52
Madhya Pradesh,38.66,28.46,34.39,81.83,160,115.02,113.22,90.63,43.37,57.66,195.32,134.51,118.02,110.88,136.4,107.5,48.15,248.27,19,19.95,56.4,36.13
Maharashtra,48.58,40.32,43.53,84.47,173.42,127.37,123.58,97.58,43.63,59.26,188.16,159.56,126.95,111.42,123.53,100.13,53.21,295.68,23.84,27.84,55.58,38.95
Meghalaya,42.67,37.67,35.33,90,119.33,121,117.67,93.33,48.67,72.33, ,135,132.5,120.67,200,120,76.67,320,30,27.33,71.67,39
Mizoram,50,40,45,98, , ,120,105,50,75, ,190,220,150, , ,100,520,25,40,60,70
Odisha,38.7,36.88,39.6,79,158.4,123.9,113.5,79.3,45.11,52.67,182.5,140.1,111.11,139.67,118.2,94.6,51.33,275.5,26.22,20.1,54.22,41.4
Puducherry,55,42,39,83,182,139,120,86,42,46,208,170,140, ,108,91,50,393,20,42,67,20
Punjab,37.85,25.92,31,85.62,163.46,124.92,117.38,101.85,45.31,59.38,199.73,127.08,119.92,118.08,133.82,99.67,50.23,264.75,26.38,23.38,56.69,54
Rajasthan,36,28.17,32.67,73.5,120.67,110.83,107.33,99.5,43,53.4,190.8,165.6,120.25,152.6,177.75,140,49.6,301.4,24.4,24,49.8,34.4
Sikkim,57,34,40.5,80,127.5,132.5,118.5,102.5,47.5,62.5, ,185,140.5,167,200, ,58,381.5,19,35,60,47.5
Tamil Nadu,57.92,43.83,52.12,88.65,179.54,148.58,124,94.41,43.2,46.04,210.04,181.55,126.12, ,113.96,91.32,55.16,303.53,25.64,36.36,62.2,40.16
Telangana,48.33,37.33,49.33,79,168.67,126.67,113.33,92.67,40.67,59,163.67,158,106.33,105,112.67,98,54.67,293.33,20.33,23.67,55.33,29
Uttar Pradesh,37.48,26.11,32.8,79.89,151.7,116.78,111.85,94.69,44.09,62.63,193.73,140.19,129.26,131.81,160.12,113.47,48.04,241.26,26.79,19.75,56.94,43.19
Uttarakhand,36,29.5,33,99.5,142.5,115.5,116,100.5,41,60,171,142,136.5,136.5,144.5,112,51.5,235.5,28,24,59.5,43.5
West Bengal,43.21,29.33,38,80.29,147.29,115.31,125.29,108.36,45.21,56,203.56,130.57,112.86,114.36,129.93,101.57,51.57,257.86,22.5,21.21,60.07,52.36
Source:-  State civil supplies Dept.,Note:- All India Consumption Weighted Average Prices of Oils w.e.f 23-Feb-2022 and Wheat and Atta w.e.f 25-Feb-2023 ,NR -&gt Not Reported  ,,,,,,,,,,,,,,,,,,,,
Developed by:-  National Informatics Centre(NIC),,,,,,,,,,,,,,,,,,,,,,

