 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  01/11/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,42.8,30.56,35.84,83.03,152.92,120.32,115.99,94.04,44.4,58.47,192.16,138.63,126.79,124.33,124.06,100.57,53.36,279.52,22.19,24.88,56.63,33.42
Maximum Price,70,58,70,133,203,175,176,152,70,80,259,248,220,197,228,198,167,559,31,60,90,107
Minimum Price,27,21,27,60,80,75,80,70,37,40,125,107,88,96,97,80,34,155,9,11,18,10
Modal Price,40,28,35,80,160,120,120,100,44,60,200,140,120,117.5,120,100,50,260,28,20,60,40
Andaman and Nicobar,45, ,68,91.33,168.67,142.67,131,98,54,72.67,226.5,184,194.67, ,141.67,122.33,77.33,308.33,20.67,46.67,65,66.67
Andhra Pradesh,56.25,43.25,45.5,86.5,176.25,135.75,125,99.25,43.5,58.25,172.75,165.25,111.5,132,110.5,88.25,60.5,378.25,22,29.25,67,23.75
Arunachal pradesh,41, ,40,99.5,152.5,125,125,105,52.5,72.5,160,131.5,120,124,170, , , ,17.5,25,68,46.67
Assam,42.71,30.82,36.79,81.5,142,112.33,113.29,92.39,46.44,70.26,208.17,148.07,138.52,138.74,154,116,58.15,257.73,13.48,22.04,59.39,43.04
Bihar,38.42,27.19,33.61,77.56,148.28,116.19,112.25,81.25,44.31,55.58,192.44,135.06,123.36,126.92,161.23,108.17,48.39,276.36,22.44,19.61,55.6,35
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,25,70,40
Chhattisgarh,42.25,36.13,38.13,84.13,154.88,108.5,110.63,93.13,43.29,59.29,192.75,144,123.25,121.75,138.75,109.75,50.86,302.86,25.29,26.13,52.63,30.38
Delhi,39,30,33,88,177,142,125,90,45,53,214,143,126,124,139,99,57,243,26,28,78,37
DNH and DD,48,40.33,45.67,90,168,134.33,126.33,98,44,64.33,209,153.33,136.67,134.33,126.67,100.33,69.67,348.67,27,21.67,66.33,20.67
Goa,48,44.5,42.5,95,179,134,130,96.5,44,57.5,223.5,161.5,142.5,149,117.5,95.5,59,325.5,24.5,34,71,23.5
Gujarat,39.83,34.5,38,80.17,151.33,116,112.5,96.5,42.17,60.17,196.67,137,129.83,133.17,126.67,107.67,52.5,263.33,16.83,24.67,39.83,22.17
Haryana,40.75,26.75,33.25,76.25,126.25,105,103.25,93.5,43.67,59.67,182.25,140,132.25,126.25,159.25,106.25,45.67,237.33,25,18,42.5,28.25
Himachal Pradesh,38.5,21,33.08,84.67,157.17,123.75,115.17,90.83,46.17,53.25,218.5,159.92,135.67,126.3,146.5,112.67,48.67,258.17,27.58,30.5,67.5,34
Jammu and Kashmir,37.5,33.25,39.5,90.5,137.5,118.25,122,104.5,53.25,48.75,240,148.75,138.5,134.25,152,130,50,325.75,27,29.5,45.75,33.25
Jharkhand,39.11,31.61,35.11,81.74,156.21,113.89,111.74,83.74,46.11,58.18,181.23,138.58,124,130.17,152.06,105.78,48.83,294.12,24.61,20.21,46,36
Karnataka,56.31,43.13,46.78,91.78,163.16,134.44,124.34,107.5,42.45,49.81,180.59,167.53,121.72,136.94,120.53,97.59,51.94,289.77,19.81,32.47,57.39,21.44
Kerala,50.64,44.43,46.86,101.5,183.93,143.79,137.23,111.93,43.79,53.93,231.29,191.3,149.71, ,118,98.85,61.36,230.86,14.43,40.77,66.38,27.92
Madhya Pradesh,37.96,28.15,34.02,80.53,153.89,109.77,111.85,89.66,43.24,57.54,192.96,135,117.66,110.09,139.57,108.26,48.22,248.26,19.11,20.89,56.21,30.38
Maharashtra,48.89,39.58,43.58,84.68,173.63,124.95,124.47,98.53,43.37,58.74,188.42,158.5,127.42,109.21,122.16,100.56,52.63,294.32,23.79,27.21,55.05,22.74
Meghalaya,38.1,38.22,37.6,83.33,141.14,129.17,119.67,90.9,47.3,72.2,139,135,139.25,131.6,171,145.6,81.17,363.5,21.6,26.6,74.2,40.5
Mizoram,47.7,41.67,45.9,103.78,138.43,122.17,124.5,100.7,50.3,78.1,174,188.63,173.5,129.8,203,131.4,114.63,475.56,29.1,40.56,58,74.25
Nagaland,40.07,41.88,48.2,96.67,132.55,124.13,117.14,95.53,50.4,71.46,200,139.33,171,149.87,202.5,137.5,81.25,304.64,17.67,26.33,57.53,50.67
Odisha,37.46,38.13,40.3,80.13,159.13,120.67,114.71,81.29,44.46,52,174.5,137.58,115.09,128,116.13,93.71,50.33,266.58,25.92,20.08,55.71,35.75
