 Department of Consumer Affairs&nbsp( Price Monitoring Division),,,,,,,,,,,,,,,,,,,,,,
Date  04/11/2023 ,Daily Retail Prices Of Essential Commodities,Unit: (₹/Kg.),,,,,,,,,,,,,,,,,,,,
States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,42.59,30.62,36.12,82.93,154.18,120.98,115.99,93.94,44.47,58.43,192.81,139.18,126.89,123.38,124.37,100.73,52.81,274.8,22.23,24.63,60.3,33.48
Maximum Price,70,54,70,133,202,180,165,152,70,80,260,248,220,197,244,198,167,559,31,60,90,80
Minimum Price,27,21,27,60,85,73,87,70,37,40,125,110,90,96,97,80,34,155,9,11,20,10
Modal Price,40,28,35,80,160,120,120,100,44,60,198,130,120,115,117.5,100,50,250,28,20,60,40
Andaman and Nicobar,45.33, ,68,91.33,168.67,142.67,131,98,54,72.67,227.5,186,194.33, ,142.33,122.33,77.33,308.33,20.67,46.67,68.33,71.67
Andhra Pradesh,56.25,43.75,46,87.5,179.75,137.75,126,100.75,43.5,58.25,172.75,165.25,110.75,129.5,111.67,88.25,60.5,378.25,22,30.75,66.25,24.75
Arunachal pradesh,37,42,40,94.5,142.5,130,125,105,55,72, ,120,120,120,180, , , ,15,25,90,50
Assam,42.46,31,36.73,81.54,141.56,113.59,113.5,91.65,46.28,70.72,207.14,148.27,137.3,137.54,152.95,112.59,57.8,257.67,13.52,21.5,61.46,41.61
Bihar,38.29,27.17,33.66,77.69,149.09,117.11,112.63,81.37,44.43,55.46,189.8,135.34,123.09,127.37,164.9,109.1,48.46,275.57,22.23,19.29,57.46,35.31
Chandigarh,42,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,25,70,40
Chhattisgarh,42.86,36.86,38.86,85.43,159.14,110.43,112.57,92.57,43.43,60.43,202.14,145.29,125.71,122.29,140.29,110.43,51.71,304.43,25.43,28.43,63.43,33.57
Delhi,39,30,33,88,173,142,125,90,45,53,214,143,126,124,139,99,57,243,26,28,75,37
DNH and DD,48,40.33,45.67,90,167.33,134,126.33,97.67,44,64.33,210,153.67,137.33,134.33,127,100.33,69.67,348.67,27,21.33,62.33,21
Gujarat,39,34.14,37.71,79.86,146.43,114.71,109.29,95,42.14,59.71,197,139.57,136.5,135,127.83,108.67,50.86,266.86,16.14,24.71,52.14,23.86
